Name,Latitude,Longitude,RouteDesignator,Procedure,FRA
NITAM,45°06'22''N,007°09'28''E,M730,NULL,FRA(E)
NIVAB,38°47'25''N,008°30'50''E,M739,NULL,
NIVAS,45°54'00''N,012°16'53''E,"N606, Y106",NULL,FRA(I)
NOBKE,45°25'27''N,008°47'38''E,NULL,"MC star, MC ial, MC sid",
NOBMI,45°38'53''N,010°30'22''E,"L615, Q985",ME star,FRA(I)
NOGLU,40°30'06''N,018°08'16''E,NULL,"BR star, BR ial",
NOGMO,44°46'52''N,009°20'53''E,NULL,ML star,
NOLSI,38°02'20''N,010°17'11''E,"P161, T543",NULL,FRA(X)
NOPMU,43°57'04''N,007°53'48''E,NULL,NULL,FRA(I)
NORNI,43°16'44''N,009°58'47''E,M729,RP star,FRA(I)
NOSTA,43°49'10''N,007°45'19''E,M985,NULL,FRA(E)
NOSTO,39°49'00''N,019°00'00''E,"L612, N7",NULL,FRA(X)
NOTRI,37°27'22''N,014°58'10''E,"L137, M871, Q72, Q789",CB star,FRA(I)
NUCRE,40°36'25''N,018°24'23''E,"M603, Y140","BR star, BR sid",FRA(I)
NUDRA,38°26'11''N,013°28'22''E,NULL,CJ sid,
NUKNI,43°48'13''N,011°33'25''E,"L81, Q58",NULL,FRA(I)
NULGI,43°49'41''N,013°18'54''E,NULL,PY star,
NUTRO,43°09'36''N,014°08'57''E,L612,"PY star, PY sid",FRA(I)
NUTTU,40°47'35''N,009°35'21''E,NULL,EO star,
OBAXU,37°12'39''N,014°25'32''E,N982,CB sid,FRA(I)
OBFUL,45°40'10''N,009°42'33''E,NULL,"ME star, ME ial",
OBIMI,40°41'56''N,009°08'26''E,NULL,"EO star, EO ial",
OBUXA,45°24'16''N,007°22'14''E,Q223,NULL,FRA(I)
ODAMO,45°26'16''N,009°50'32''E,NULL,"ME star, ME ial",
ODINA,46°06'16''N,008°39'54''E,"M727, N850","MC star, ME star, ML star, LSZA star",FRA(E)
ODJOM,45°32'45''N,008°45'23''E,NULL,ML sid,
ODOGI,40°56'09''N,009°51'38''E,NULL,EO star,
ODULA,41°32'42''N,012°23'13''E,NULL,"RF star, RF ial",
ODUPA,42°21'52''N,011°59'54''E,NULL,RF sid,
OFHED,44°57'14''N,011°27'05''E,T558,NULL,
OGAPU,44°09'30''N,011°33'14''E,Q58,NULL,FRA(I)
OGLAK,43°59'00''N,010°26'16''E,Q705,NULL,FRA(I)
OGOVU,39°09'00''N,008°06'35''E,NULL,NULL,FRA(I)
OGPUD,44°36'59''N,011°01'06''E,Y504,NULL,FRA(I)
OGSOK,44°58'26''N,010°08'01''E,NULL,"MP star, MP ial",
OGTOM,42°02'40''N,012°33'54''E,NULL,RF star,
OGVON,45°31'50''N,009°47'44''E,NULL,ME star,
OKBAD,40°39'03''N,009°19'07''E,NULL,EO star,
OKBIS,43°00'08''N,011°58'32''E,"Y510, Z806",NULL,FRA(I)
OKDEB,41°54'34''N,013°05'41''E,L995,NULL,FRA(I)
OKEFO,40°44'43''N,013°43'26''E,NULL,RN star,
OKIDO,40°49'50''N,009°49'26''E,"M622, Z254, Z347, Z924",NULL,FRA(I)
OKIMO,40°56'02''N,018°02'51''E,"A48, L53",BR star,FRA(I)
OKIVA,41°20'00''N,009°06'23''E,"P872, P980",EO sid,
OKMAP,44°02'53''N,011°18'56''E,Q125,"RQ star, RQ sid",FRA(I)
OKOMU,45°06'41''N,007°37'36''E,NULL,"MF star, MZ star",
OKTAV,44°17'08''N,010°53'38''E,L81,NULL,FRA(I)
OKUBU,41°35'45''N,012°19'05''E,NULL,RF ial,
OKUNO,42°06'26''N,012°58'21''E,"L5, Y106","RA sid, RF sid",FRA(I)
OLBEK,41°15'32''N,009°51'14''E,Q125,"EO star, EO sid",FRA(I)
OLETI,43°48'36''N,009°00'31''E,"M858, Z911",NULL,FRA(I)
OLEVA,40°45'35''N,014°03'00''E,NULL,"RN star, RN ial",
OLGAT,40°14'41''N,019°00'00''E,"L53, Y140",NULL,FRA(E)
OLINI,37°55'16''N,015°33'59''E,NULL,"CR star, CR sid",
OLKIS,43°55'33''N,010°22'13''E,L153,RP star,FRA(I)
OLLEK,36°30'00''N,014°35'12''E,P623,NULL,
OLNUK,44°23'00''N,010°32'56''E,Y239,NULL,FRA(I)
OLPIX,47°01'02''N,011°41'25''E,M736,NULL,FRA(E)
OLPUR,45°38'54''N,009°37'09''E,NULL,"MC sid, ML sid",
OMAKU,44°08'48''N,011°23'11''E,"M738, Q125, T558",PR sid,FRA(I)
OMETO,45°44'12''N,008°02'34''E,"L615, M872","ME sid, ML sid, LSZA sid",FRA(I)
OMILI,45°01'38''N,007°38'21''E,NULL,"MF star, MF ial",
OMIZE,37°30'47''N,014°26'24''E,NULL,CC star,
ORSOM,40°21'57''N,018°26'48''E,L995,BR sid,
ORTAP,36°30'00''N,018°20'00''E,Q789,NULL,FRA(EX)
ORTEV,38°52'22''N,016°31'06''E,NULL,"CA star, CA ial",
ORVEX,40°40'37''N,008°52'02''E,"M601, M603, T1",EA sid,FRA(I)
ORVUN,38°19'46''N,013°13'29''E,NULL,CJ star,
OSBUL,44°49'20''N,010°17'36''E,"L153, L995, M196, Q64, Y504, Y765","ME star, ML star, MP star, MP ial, MP sid, PO star, PO sid, PX star, PX sid",FRA(I)
OSDAX,41°21'29''N,016°34'35''E,"P748, T415",NULL,FRA(I)
OSDET,37°45'53''N,011°38'58''E,"M732, N163, Y19",NULL,FRA(I)
OSKOR,45°38'57''N,010°07'00''E,"L615, M985","MC sid, ME star, ME sid, ML star, ML sid, PO sid",FRA(I)
OSLOP,45°38'25''N,013°10'37''E,P125,"PQ star, PQ sid",FRA(I)
OSMAL,41°12'54''N,017°04'15''E,NULL,"BD star, BD ial",
OSMAR,38°15'17''N,009°47'14''E,"M731, M733",NULL,FRA(EX)
OSMEB,45°07'13''N,010°46'14''E,Z982,NULL,FRA(I)
OSMOX,43°50'14''N,010°54'47''E,"L12, M727, Y138",NULL,FRA(I)
OSSUF,44°55'05''N,011°23'25''E,Y699,NULL,
OSTEG,45°10'43''N,011°08'20''E,"L614, M738",PO star PX star,FRA(I)
OSVIC,45°49'20''N,009°23'25''E,NULL,"ME sid, MC sid, ML sid",
OTAFI,40°48'17''N,014°39'38''E,NULL,RN star,
OTFOX,45°37'09''N,013°42'01''E,Z495,NULL,
OTGIG,44°59'59''N,012°07'05''E,"Z43, Z456, Z71",PZ star,
OTKEK,45°22'04''N,010°38'50''E,Q702,NULL,FRA(I)
OTKUB,41°39'43''N,012°45'38''E,NULL,"RF sid, RA sid",
OTMUV,44°11'41''N,009°03'17''E,"M858, Z388",NULL,FRA(I)
OTNUN,44°14'49''N,011°16'48''E,M167,NULL,FRA(I)
OTRET,42°41'40''N,014°01'36''E,M736,"BP star, BP sid",FRA(I)
OTZOM,45°30'11''N,011°07'17''E,Y480,PX sid,
OVUNE,40°50'30''N,013°58'28''E,NULL,RN star,
OXERU,42°00'57''N,012°11'25''E,NULL,RF ial,
OXUGI,38°22'58''N,013°12'27''E,NULL,CJ ial,
OZMIC,43°35'59''N,008°12'52''E,Y74,NULL,
PABRO,45°00'13''N,009°57'26''E,NULL,"ME sid, ML star, ML sid",
PABUC,37°31'54''N,014°38'54''E,NULL,CC star,
PALCU,41°12'58''N,014°44'38''E,NULL,RN star,
PAPIZ,40°53'30''N,018°57'06''E,"L613, M742, P92, Q81, T214, Y2",NULL,FRA(EX)
PAZUB,41°25'26''N,014°19'10''E,NULL,RN star,
PAZZE,38°34'31''N,015°31'19''E,"L869, Z854",CR sid,
PEHPE,37°51'08''N,014°42'11''E,NULL,CC star,
PEKOD,37°43'04''N,015°27'46''E,"T111, Y93","CC star, CC sid, CR star",FRA(I)
PELEG,44°13'40''N,011°44'07''E,"M726, N503, Q19, Q95","PE star, PE sid",FRA(I)
PELEN,38°20'05''N,014°27'14''E,"L869, Q789",CJ star,FRA(I)
PELOS,41°09'43''N,008°09'41''E,"M623, M731, Y19",EA star,FRA(E)
PELZA,37°32'24''N,014°44'38''E,NULL,CC sid,
PEMAR,42°01'47''N,012°55'10''E,"L995, M726, Z810","RA star, RA sid",FRA(I)
PEPAG,45°59'02''N,009°04'17''E,"L995, N851","MC sid, ML sid, ME sid",FRA(I)
PEPIX,41°09'36''N,012°11'19''E,"L50, M727","RA sid, RF sid",FRA(I)
PERAV,41°31'42''N,016°56'06''E,Q920,"BD sid, BD star",FRA(I)
PEROS,38°38'15''N,015°49'13''E,L869,"CA sid, CR star",FRA(I)
PESAR,37°30'00''N,017°09'47''E,"L30, M600, M620",NULL,FRA(I)
PETAS,44°20'53''N,011°33'47''E,"Q95, Y11, Y765",NULL,FRA(I)
PETIP,35°45'02''N,012°37'08''E,NULL,CD star,
PEVAL,45°18'41''N,013°14'51''E,NULL,NULL,FRA(EX)
PEVIK,45°17'17''N,010°43'57''E,NULL,"PX star, PX ial",
PEVIR,40°16'54''N,013°59'39''E,"M725, M729","RI star, RI sid, RN sid",FRA(I)
PEXET,45°18'58''N,010°00'00''E,KY139,NULL,
PEXUG,45°39'12''N,009°37'46''E,L615,MC star,
PIDAD,43°37'44''N,008°42'44''E,NULL,NULL,FRA(I)
PIDEP,43°49'04''N,012°13'03''E,"M730, M872, Y106",NULL,FRA(I)
PIDUL,41°02'54''N,010°21'20''E,Q710,NULL,FRA(I)
PIGAK,44°23'11''N,011°30'29''E,Q95,NULL,
PIGEG,41°07'42''N,009°41'10''E,NULL,EO star,
PIGER,38°32'55''N,015°24'22''E,L869,"BC star, CA star, CR star, CR sid",FRA(I)
PIGOL,35°30'55''N,012°44'45''E,NULL,"CD star, CD ial",
PIKEL,41°11'03''N,017°09'30''E,L612,"BD star, BD sid",FRA(I)
PIKOT,45°11'13''N,009°44'14''E,NULL,MJ star,FRA(I)
PILUD,45°18'11''N,010°30'33''E,NULL,"PO star, PO ial",
PIMOR,37°34'27''N,015°51'38''E,"Q58, Q72, Z910","CC star, CC sid",FRA(I)
PIMOT,45°30'15''N,007°43'12''E,M729,NULL,FRA(I)
PINIK,45°52'27''N,008°50'56''E,NULL,"LSZA star, LSZA sid",
PININ,37°55'47''N,011°23'40''E,"M725, M732, M738",NULL,FRA(I)
PINUK,41°51'56''N,018°35'24''E,NULL,NULL,FRA(EX)
PIQUZ,45°02'07''N,011°12'07''E,Y627,PO sid,
PIRIX,38°54'05''N,009°34'42''E,M733,EE star,FRA(I)
PIRWO,45°33'42''N,010°52'39''E,Y769,"PO star, PX star",
PISIP,41°31'49''N,016°38'11''E,L612,"BD star, BD sid",FRA(I)
PIVOP,37°29'23''N,013°11'17''E,M726,CT star,FRA(I)
PODOX,42°16'38''N,010°34'37''E,"Q160, T246, T378","RA sid, RF sid",FRA(I)
POKAV,40°50'23''N,011°23'59''E,"L12, M603, M620, Y567, Z347",NULL,FRA(I)
POLIT,40°08'48''N,014°50'00''E,"M620, P748","RI star, RI sid, RN sid",FRA(I)
POULP,41°20'00''N,008°34'12''E,L42,EA sid,
POWAF,38°59'55''N,009°20'46''E,NULL,EE sid,
POZIM,37°32'26''N,014°45'08''E,NULL,CC star,
POZZO,40°56'45''N,009°15'59''E,"J19, L5, P980","EO star, EO sid",FRA(I)
PUCEF,44°04'28''N,012°23'55''E,NULL,"PK star, PK ial",
PUNSA,46°04'43''N,008°01'33''E,L153,NULL,FRA(X)
PURZE,35°45'38''N,012°57'36''E,NULL,CD sid,
QUENN,40°09'54''N,010°32'37''E,"M126, M601, M622, N157, Q123, T543",NULL,FRA(I)
RAMEN,39°48'14''N,008°56'21''E,"M732, M858",NULL,FRA(I)
RAPIS,38°24'12''N,016°35'42''E,M620,"CA star, CA sid",FRA(I)
RASUG,45°40'59''N,012°55'16''E,T128,NULL,FRA(I)
RATIR,41°40'54''N,012°26'57''E,NULL,"RA ial, RA sid, RF star, RF ial",
RATOK,36°43'52''N,013°12'09''E,"M726, M732",NULL,FRA(I) - FRA Malta only
RAVAL,41°48'17''N,011°43'38''E,M729,NULL,FRA(I)
RAVUX,42°28'35''N,012°20'28''E,NULL,RF star,
RAXHO,45°44'45''N,012°39'31''E,"P66, P735","PH star, PH sid",
RAZOZ,44°34'36''N,008°12'24''E,NULL,"MF star, MZ star",
REDKO,38°21'43''N,013°19'20''E,NULL,CJ star,
REGSO,38°41'20''N,015°20'02''E,NULL,NULL,FRA(I)
RELPU,40°32'20''N,013°38'17''E,NULL,RN star;RN ial,
RENTA,46°18'20''N,010°51'49''E,M984,NULL,FRA(I)
REPTA,35°42'16''N,013°13'17''E,NULL,CD sid,
RESIA,46°28'42''N,010°02'36''E,"P131, Q217, Q333, T214, T415, Z909",NULL,FRA(EX)
RETKU,43°01'35''N,012°14'05''E,NULL,"RZ star, RZ ial",
REVDO,41°20'00''N,008°41'27''E,NULL,EA star,
RICIZ,44°50'36''N,011°08'30''E,Y184,NULL,
RIDVA,45°09'57''N,010°38'32''E,Z982,NULL,FRA(I)
RIFEN,45°51'04''N,013°35'23''E,"M196, P735, Y526","PQ star, PQ sid",FRA(EX)
RIFFI,41°13'28''N,012°31'56''E,M729,"RA sid, RF star, RF sid",FRA(I)
RIGON,45°19'03''N,008°58'44''E,NULL,MC star,
RILPI,37°38'24''N,014°44'10''E,NULL,CC star,
RIMED,44°16'10''N,011°54'09''E,NULL,"PK star, PK ial, PR sid",
RINAD,42°27'12''N,011°42'21''E,NULL,RF star,
RIPDU,44°37'21''N,010°28'30''E,"L995, Z963",PE star,FRA(I)
RIPTO,40°33'20''N,009°08'20''E,NULL,EO star,
RIROX,38°48'50''N,017°06'42''E,NULL,BC star,
RISOM,46°04'05''N,012°57'39''E,Q707,NULL,FRA(I)
RITEB,42°41'55''N,012°09'49''E,"L865, Q411, T369, Y345",RF star,FRA(I)
RIVAM,42°29'57''N,015°46'22''E,"L613, M169",NULL,FRA(I)
RIVAP,44°17'00''N,009°20'56''E,NULL,"MJ star, MJ ial",
RIVEV,45°15'29''N,010°31'14''E,NULL,"PX star, PX ial",
RIXUV,45°53'51''N,008°36'35''E,Z424,MC star,
ROBAS,45°11'37''N,009°43'34''E,"L153, M985, Q705, T678, Y663, Y974","MC sid, ME sid",FRA(I)
ROBET,37°02'51''N,011°58'32''E,M740,"CG star, CG sid, CG ial",FRA(I)
ROBIM,36°54'53''N,012°55'54''E,"M732, M742, Q723",NULL,FRA(I) - FRA Malta only
ROBOT,40°42'35''N,017°28'10''E,L995,"BG star, BG sid, BR star, BR sid",FRA(I)
RODRU,45°40'15''N,009°23'36''E,M984,ML sid,FRA(I)
ROGAK,43°52'29''N,012°54'10''E,NULL,"PR star, PR ial",
ROKIB,45°56'08''N,011°41'32''E,"N503, Q333, Z468, Z906","PZ sid, PH sid",FRA(I)
ROKUD,44°58'23''N,008°15'39''E,KY139,NULL,
ROMPO,41°05'56''N,009°46'15''E,"L5, Q125, Q714",NULL,FRA(I)
ROMSU,37°14'15''N,014°45'20''E,"L137, P623",CB sid,FRA(I)
ROMUN,45°43'46''N,009°14'49''E,NULL,"ME star, ML star",
RONAB,39°52'11''N,011°53'28''E,"L12, M601, M738, M740, Y159, Z923",NULL,FRA(I)
RONDI,38°30'42''N,012°46'24''E,NULL,"CJ star, CJ sid",
RONIV,41°23'31''N,012°02'21''E,NULL,RF star,
RONOP,45°11'09''N,007°09'23''E,P860,NULL,FRA(X)
ROSAS,38°51'02''N,013°32'22''E,"M742, P126, Q152","CJ star, CJ sid",FRA(I)
ROSGO,46°27'10''N,009°27'41''E,Z83,NULL,
ROSKA,45°18'51''N,012°51'42''E,"M859, P125, Q19, T128, T132","PQ star, PQ sid, PZ sid",FRA(I)
ROSKI,42°42'19''N,011°01'31''E,"L146, L153, Q705",NULL,FRA(I)
ROSUV,43°40'59''N,012°03'49''E,T369,NULL,FRA(I)
ROTAR,45°15'46''N,012°59'44''E,"L611, L615, M167, T132",NULL,FRA(E)
ROTIR,42°13'09''N,010°47'09''E,"L50, Q160",NULL,FRA(I)
ROTUN,40°53'00''N,012°18'20''E,"M603, M728",RF sid,FRA(I)
ROVIG,44°55'26''N,011°53'51''E,M859,"PH star, PH sid",FRA(I)
ROXAN,40°49'47''N,011°13'02''E,"M126, M603",NULL,FRA(I)
ROXOK,44°41'30''N,010°51'05''E,NULL,PE star,
ROXOM,38°16'50''N,017°05'22''E,Q182,NULL,FRA(I)
RUBRI,36°35'54''N,012°04'32''E,M740,"CG star, CG sid",FRA(I) - FRA Malta only
RUCIC,41°03'18''N,016°28'03''E,NULL,"BD star, BD ial",
RUFHO,45°14'51''N,008°06'34''E,NULL,"MF star, MF sid, MZ star",
RUGOX,41°15'04''N,009°21'36''E,M622,NULL,FRA(I)
RUKOK,44°10'35''N,012°41'33''E,NULL,PR ial,
RUPAX,42°18'03''N,015°28'18''E,"L612, M725",NULL,FRA(I)
RUTOM,38°31'06''N,019°00'00''E,"M601, N604",NULL,FRA(EX)
RUVAB,45°45'41''N,009°34'11''E,NULL,ML sid,
RUVIP,40°03'38''N,011°47'44''E,"L12, Q182",NULL,FRA(I)
RUVUK,44°55'25''N,010°30'46''E,KY139,NULL,
RUXOL,44°06'55''N,010°35'35''E,"M727, M730, Q920",NULL,FRA(I)
RUXOP,41°10'09''N,010°00'34''E,L5,NULL,FRA(I)
SAFFA,46°44'13''N,010°24'16''E,Z613,NULL,FRA(X)
SALAP,38°22'32''N,012°53'47''E,NULL,"CJ star, CJ sid, CJ ial",
SASLI,38°28'11''N,013°07'08''E,NULL,CJ sid,
SENAL,40°44'44''N,009°13'52''E,NULL,"EO star, EO ial",
SENTI,37°10'17''N,012°32'59''E,"M727, M732",NULL,FRA(EX)
SEXVO,41°14'59''N,017°11'43''E,NULL,BD star,
SEZET,37°14'00''N,014°41'16''E,NULL,CC star,
SIDRO,38°28'49''N,013°22'29''E,NULL,"CJ star, CJ sid",
SIPRO,41°26'46''N,013°40'50''E,Z803,"RA sid, RF sid",FRA(I)
SIRGI,40°07'50''N,016°42'13''E,"L81, Y159",NULL,FRA(I)
SIRLO,45°09'16''N,007°59'34''E,NULL,"MF star, MF sid, MF ial",
SOBRI,39°05'04''N,015°07'48''E,Q182,"BC star, CA star",FRA(I)
SODIO,40°16'40''N,008°32'31''E,"M732, T118","EA star, EA sid",FRA(I)
SODMO,37°43'48''N,017°31'44''E,"M600, M728, Q72",NULL,FRA(I)
SOKVO,40°47'57''N,008°32'11''E,NULL,EA star,
SOMAS,39°07'35''N,015°58'08''E,"M601, M620",CA star,FRA(I)
SONAK,36°37'12''N,011°30'00''E,"M978, M979",NULL,FRA(EX)
SOPIR,36°30'00''N,013°47'37''E,M622,NULL,FRA(I) - FRA Malta only
SOPOM,37°54'42''N,015°21'57''E,T111,CR sid,FRA(I)
SOROP,45°13'44''N,009°18'01''E,NULL,"ML star, ML ial",
SORUG,43°40'43''N,012°58'57''E,M730,PY star,
SOSAK,41°37'15''N,012°02'38''E,NULL,RF sid,
SOSIV,42°10'59''N,012°02'21''E,NULL,RF sid,
SOSUB,38°22'16''N,012°44'04''E,NULL,CJ sid,
SOTOV,46°56'38''N,011°12'38''E,"P66, T101",NULL,FRA(X)
SOVAN,42°50'05''N,011°53'30''E,"L995, Z242","RA sid, RF sid",FRA(I)
SOVOX,45°58'06''N,013°35'50''E,T147,NULL,FRA(X)
SOVUB,44°55'14''N,012°01'08''E,Z43,NULL,FRA(I)
SPEZI,43°46'34''N,009°35'41''E,M729,RP sid,FRA(I)
SPUMA,38°36'52''N,013°26'03''E,NULL,"CJ star, CJ sid",
SUBAR,41°55'31''N,012°30'53''E,NULL,RA ial,
SUBOK,36°30'00''N,016°51'26''E,M871,NULL,FRA(EX)
SUDDE,36°59'02''N,014°30'25''E,NULL,CC star,
SUGEP,38°55'31''N,016°03'13''E,NULL,"CA star, CA ial",
SUKIB,38°50'53''N,015°54'39''E,NULL,"CA star, CA ial",
SUKOM,44°33'09''N,011°40'11''E,"M167, M726, Q125",NULL,FRA(I)
SUKUN,40°45'02''N,009°54'40''E,"M603, M622","EO star, EO sid",FRA(I)
SULUR,45°44'57''N,008°56'36''E,NULL,"MC star, ML star, LSZA star, LSZA sid",
SUMIR,46°15'32''N,011°21'35''E,"M726, M985",NULL,FRA(I)
SUNEV,42°29'00''N,009°52'00''E,NULL,NULL,FRA(I)
SUPUX,40°25'29''N,008°00'00''E,Z924,EA sid,FRA(X)
SUSIP,37°40'25''N,011°06'50''E,M725,NULL,FRA(EX)
SUSOM,36°30'00''N,014°05'57''E,P126,NULL,FRA(I) - FRA Malta only
SUTAD,40°35'46''N,008°58'06''E,Z924,EO sid,FRA(I)
SUTED,46°27'43''N,008°24'29''E,NULL,NULL,
SUTOB,42°45'59''N,014°30'22''E,"L5, N748",BP sid,FRA(I)
SUVOK,42°07'06''N,012°02'25''E,NULL,"RF star, RF ial",
SUXAN,46°33'44''N,010°28'45''E,"L611, L613, Y9",NULL,FRA(EX)
SUXIL,44°53'54''N,010°19'43''E,NULL,"MP star, MP sid, MP ial",
SUXUB,41°52'54''N,014°04'47''E,M736,NULL,FRA(I)
TABOT,39°09'00''N,008°00'00''E,M739,NULL,FRA(E)
TADIX,38°49'49''N,014°21'40''E,"M621, Q152",NULL,FRA(I)
TAFIQ,45°33'47''N,010°43'36''E,Y801,PO star,
TAGEL,40°17'52''N,013°18'40''E,"L50, Q789, Y159",NULL,FRA(I)
TAGHE,45°00'22''N,011°11'49''E,Y699,PO sid,
TAGIP,45°56'01''N,010°41'24''E,"M985, P131, T876",NULL,FRA(I)
TALEP,43°27'44''N,008°42'44''E,N850,NULL,FRA(X)
TEKRA,38°10'51''N,012°41'55''E,NULL,CJ sid,
TEKSA,40°00'16''N,008°46'19''E,"M731, M732",NULL,FRA(I)
TELVA,45°30'06''N,008°55'09''E,NULL,MC sid,
TEREZ,41°20'00''N,009°02'13''E,J19,EO sid,
TERSI,45°47'13''N,007°27'35''E,L615,NULL,FRA(I)
TESTO,44°35'50''N,008°39'56''E,"M730, Q712, Z963","MC star, MF sid, MJ star",FRA(I)
TEXXA,46°11'40''N,011°06'44''E,NULL,"DT sid, KC ial",
TIBER,42°14'56''N,012°35'56''E,"L995, Q549, Y106","RA star, RA sid, RF sid",FRA(I)
TIBRO,46°13'06''N,013°28'22''E,"P125, Q707, Y9, Z427","PQ star, PQ sid",FRA(E)
TIDKA,43°48'00''N,009°11'31''E,"L50, Z929",NULL,FRA(I)
TIGLO,44°17'34''N,009°23'12''E,NULL,"MJ star, MJ ial",
TIGRA,40°03'24''N,019°00'00''E,"L995, Q772, T75",BR sid,FRA(EX)
TIMOV,42°29'37''N,011°53'57''E,"Z242, Z806",NULL,FRA(I)
TIMPU,41°45'49''N,016°25'47''E,Y140,NULL,FRA(I)
TINIX,42°09'57''N,013°07'22''E,"L5, N982",NULL,FRA(I)
TINKU,43°45'48''N,010°32'26''E,"Q223, Q705",NULL,FRA(I)
TINTO,41°28'41''N,011°04'04''E,"L12, L5, Q710, T543",NULL,FRA(I)
TIPAP,41°17'08''N,012°05'02''E,NULL,RF star,
TIPNI,44°18'18''N,011°13'05''E,L12,NULL,FRA(I)
TISAL,36°30'00''N,017°46'23''E,M620,NULL,FRA(EX)
TISAX,46°38'43''N,011°03'54''E,"N606, T102, Y246",NULL,FRA(I)
TISGU,37°33'23''N,014°56'10''E,NULL,CC sid,
TIVNO,43°46'44''N,007°47'01''E,Y15,NULL,
TIVUK,38°51'00''N,009°56'00''E,M732,NULL,FRA(I)
TIXIR,42°15'19''N,013°53'30''E,Z924,NULL,FRA(I)
TIXUM,45°29'56''N,009°57'49''E,NULL,"ME star, ME ial",
TOBGA,42°53'27''N,009°52'00''E,NULL,NULL,FRA(I)
TOBIR,41°44'07''N,012°26'07''E,NULL,RF sid,
TOBSO,47°00'58''N,011°51'27''E,Y107,NULL,FRA(E)
TOCLA,37°30'38''N,015°23'33''E,NULL,"CC star, CC ial",
TODKU,45°26'04''N,008°47'14''E,NULL,MC ial,
TODNO,44°31'38''N,011°03'42''E,"M859, Y765",NULL,FRA(I)
TOFUR,37°25'22''N,014°33'27''E,NULL,CC star,
TOMGI,38°43'05''N,018°13'17''E,"L81, M601",NULL,FRA(I)
TONDA,45°06'33''N,008°13'47''E,"M198, M729, T445","MC sid, MF sid, ML sid, MZ sid",FRA(I)
TOPNO,40°57'06''N,016°06'28''E,"L995, P748, Q865, T527","BD star, BD sid",FRA(I)
TOPRU,44°41'45''N,007°45'22''E,NULL,"MZ star, MZ ial",
TORLI,41°35'48''N,012°01'06''E,"M126, M727","RA star, RA sid, RF sid",FRA(I)
TORPO,43°33'51''N,014°25'29''E,M730,NULL,FRA(X)
TORTU,43°23'18''N,008°57'30''E,"M198, M858, N851",NULL,FRA(EX)
TOSMI,44°59'38''N,006°58'56''E,NULL,NULL,
TOVSA,45°05'08''N,009°36'50''E,NULL,"ME sid, ML star, ME sid",
TREVI,45°36'12''N,009°41'37''E,NULL,ML sid,
TROTA,41°03'31''N,018°03'57''E,A48,"BR star, BR sid",
TUBTU,41°10'46''N,009°30'45''E,NULL,EO sid,
TUCOZ,45°24'33''N,009°31'26''E,NULL,ML ial,
TUFTE,42°41'03''N,013°28'02''E,"L81, Q920",NULL,
TUGBA,44°42'14''N,007°50'21''E,NULL,MZ ial,
TUKLU,41°04'51''N,009°35'43''E,NULL,"EO star, EO sid",
TULIK,45°17'02''N,012°47'21''E,"L615, M859, P125, Z71","PH sid, PQ star",FRA(I)
TULLE,40°53'22''N,009°13'55''E,NULL,EO star,
TUNEX,37°35'34''N,011°17'39''E,"M738, P748",NULL,FRA(EX)
TUPAL,37°11'21''N,011°30'00''E,L869,NULL,FRA(EX)
TUPUP,45°13'17''N,007°35'52''E,L50,NULL,FRA(I)
TURMO,40°51'40''N,011°49'58''E,"L44, M603, M738",NULL,FRA(I)
TURUD,39°31'55''N,009°04'24''E,NULL,"EE star, EE ial",
TUTIP,39°11'47''N,009°45'52''E,Y159,EE star,FRA(I)
TUTIV,45°42'31''N,013°49'36''E,M859,NULL,
TUVDE,45°18'15''N,011°12'32''E,Y922,PX sid,
TUVEL,41°53'54''N,012°27'42''E,NULL,RF star,
TUVIB,45°22'36''N,009°37'27''E,NULL,ML sid,
UCCOV,41°10'22''N,014°21'29''E,NULL,RN star,
UCFIL,41°08'55''N,016°25'15''E,NULL,BD star,
UCTUC,44°57'52''N,011°28'57''E,Q58,NULL,
UGHAD,45°12'05''N,011°13'49''E,Y522,PO sid,
UKLUF,40°36'55''N,013°46'52''E,NULL,RN star,
ULCOR,44°51'55''N,008°59'29''E,M858,MC star,
ULFIG,40°26'45''N,017°25'20''E,M872,NULL,
ULGOD,46°28'55''N,009°16'31''E,Z83,NULL,
ULKEN,39°36'54''N,016°02'21''E,M736,NULL,FRA(I)
ULSOP,45°31'27''N,010°09'38''E,NULL,ME star,
ULVUN,45°26'46''N,010°14'16''E,NULL,ME star,
UMBEK,45°32'40''N,013°25'11''E,M859,NULL,
UNBID,40°35'04''N,009°31'39''E,NULL,EO sid,
UNDAP,45°12'11''N,009°07'58''E,NULL,"ML star, ML ial",
UNIMI,46°51'39''N,011°03'55''E,L12,NULL,FRA(X)
UNITA,43°56'40''N,009°01'30''E,"L50, M858, Y74","MG star, MG sid, MJ star, MJ sid",FRA(I)
UNIXO,40°46'31''N,012°40'54''E,"L50, M620",NULL,FRA(I)
UNKAV,45°13'58''N,010°58'55''E,NULL,PX ial,
UNPIV,43°32'41''N,010°15'04''E,NULL,"RP star, RP ial",
UNTAD,46°13'12''N,010°50'34''E,"M738, Q333",NULL,FRA(I)
UNUMU,43°25'22''N,012°43'11''E,N737,NULL,FRA(I)
UPADU,42°44'47''N,010°44'19''E,L127,"RS star, RS sid",
UPCAL,45°04'58''N,011°12'04''E,Y247,PX sid,
